N,J,Jc,beta_E,theta0,thetaA,thetaV,mean_rate,leading_real_eig,spectral_gap,subcritical_flag
5000.0,0.51,0.6000000000000001,0.0,2.618940985419376,0.1305952256330901,-2.6318651615373185,5.61136,-56.679579367287616,56.679579367287616,1
5000.0,0.52,0.6000000000000001,0.0,3.15963649588677,-0.2758205688287294,-3.459225890827899,3.85298,-101.56827838214295,101.56827838214295,1
5000.0,0.53,0.6000000000000001,0.0,3.801753141976852,0.1246418791780265,-2.3363834774733854,7.0392,-53.06552210225089,53.06552210225089,1
5000.0,0.48,0.6000000000000001,0.0,2.045827083046585,0.0520741003094313,-3.0042138064581936,4.7389,-68.8306511510909,68.8306511510909,1
5000.0,0.49,0.6000000000000001,0.0,2.0172852732624778,0.0245664796483256,-4.2734132056169685,3.78286,-72.67671116993839,72.67671116993839,1
5000.0,0.5,0.6000000000000001,0.0,1.7243604530124208,-0.3146812454198852,-3.2082315005004443,3.41436,-101.86087642779599,101.86087642779599,1
5000.0,0.51,0.6000000000000001,0.0,1.2632175974972344,-0.0858257459202109,-3.5328248790674226,3.4003,-82.29583209631232,82.29583209631232,1
5000.0,0.52,0.6000000000000001,0.0,1.3500458014594805,-0.0144459543532816,-2.5782100751116133,4.14144,-76.49567632992135,76.49567632992135,1
5000.0,0.53,0.6000000000000001,0.0,0.3052837211212385,-1.3417911931707744,2.045142883969178,10.595,-22.252911339996288,22.252911339996288,1
5000.0,0.48,0.6000000000000001,0.0,2.63927394473184,0.0247722697091981,-3.0259282733769663,4.82648,-72.01092839234875,72.01092839234875,1
5000.0,0.49,0.6000000000000001,0.0,2.6319214185414337,-0.0150257974166206,-2.9535503709073097,4.67234,-76.75514085753935,76.75514085753935,1
5000.0,0.5,0.6000000000000001,0.0,2.865635773292113,-0.0219838170703553,-4.275181218814819,3.81934,-77.09909179723726,77.09909179723726,1
5000.0,0.51,0.6000000000000001,0.0,3.039976351711072,-0.2796018697689802,-3.515743539317042,3.73714,-101.12278328971118,101.12278328971118,1
5000.0,0.52,0.6000000000000001,0.0,4.046268514256236,-0.2029746957324926,-2.5154129648465378,5.25232,-101.65220134724213,101.65220134724213,1
5000.0,0.53,0.6000000000000001,0.0,3.764427329778008,0.0509896426911142,-2.575353230449136,5.92396,-67.44848490708867,67.44848490708867,1
5000.0,0.48,0.6000000000000001,0.2,2.6248602532234075,-0.0055178245417553,-4.75136610272044,4.23692,-75.58446452893634,75.58446452893634,1
5000.0,0.49,0.6000000000000001,0.2,2.8554363097345035,-0.2439216241567411,-3.9389237415759335,4.11586,-100.09868140004411,100.09868140004411,1
5000.0,0.5,0.6000000000000001,0.2,2.459004763533206,-0.3227438024379829,-4.236556696167139,3.66662,-104.58447202237895,104.58447202237895,1
5000.0,0.51,0.6000000000000001,0.2,2.758236182248968,-0.363936924092498,-4.70704421283402,3.55748,-107.3674582180145,107.3674582180145,1
5000.0,0.52,0.6000000000000001,0.2,1.2272290291403096,-0.2921762541876906,-3.9145953658290384,3.21144,-98.4576627437129,98.4576627437129,1
5000.0,0.53,0.6000000000000001,0.2,1.4527108486017344,-0.0374525466950609,-3.479998391116422,3.8034,-78.56117540249986,78.56117540249986,1
5000.0,0.48,0.6000000000000001,0.2,-1.807487935521124,0.1342773262844081,-1.7746417275237047,3.07126,-64.68998547189372,64.68998547189372,1
5000.0,0.49,0.6000000000000001,0.2,4.203093668907648,-0.0462618236923075,-3.7692662423642,4.89482,-80.66108249613951,80.66108249613951,1
5000.0,0.5,0.6000000000000001,0.2,3.382666645203204,-0.055689095471561,-4.573915941522608,3.94736,-80.49562269751551,80.49562269751551,1
5000.0,0.51,0.6000000000000001,0.2,2.871252223620204,-0.3947996870099672,-4.022354557077891,3.37198,-108.28141621509673,108.28141621509673,1
5000.0,0.52,0.6000000000000001,0.2,1.397393734020237,-0.3347224199040145,-4.484065435806833,2.76278,-98.11911018156033,98.11911018156033,1
5000.0,0.53,0.6000000000000001,0.2,3.5410181025533234,-0.1668723551868539,-3.9079934218127033,3.93242,-91.4053046745972,91.4053046745972,1
5000.0,0.48,0.6000000000000001,0.2,1.3349983631935838,-0.2522685013422996,-3.548639913221469,3.30842,-95.86525388027226,95.86525388027226,1
5000.0,0.49,0.6000000000000001,0.2,2.974795388291012,-0.0085140092428551,-2.6489415212273357,5.49718,-76.17007603324095,76.17007603324095,1
5000.0,0.5,0.6000000000000001,0.2,1.1749927211708904,-0.0378784626031951,-3.5497723314705087,3.49566,-78.31025566458712,78.31025566458712,1
5000.0,0.51,0.6000000000000001,0.2,1.2864815879324707,-0.4135344971587836,-4.186649024936694,2.8071,-104.02081717436053,104.02081717436053,1
5000.0,0.52,0.6000000000000001,0.2,1.5210047555458788,-0.0064411344237957,-2.9702897139283397,3.95018,-75.63609100945473,75.63609100945473,1
5000.0,0.53,0.6000000000000001,0.2,2.635867311182467,0.0438641204501838,-3.010373850713835,4.67478,-69.87362217504725,69.87362217504725,1
5000.0,0.48,0.6000000000000001,0.2,2.3121903269889987,-0.4137968326355896,-4.378982950341464,3.10268,-107.09697891704477,107.09697891704477,1
5000.0,0.49,0.6000000000000001,0.2,3.669656395789153,-0.1756750155359062,-4.660837767361882,3.80406,-91.706957489988,91.706957489988,1
5000.0,0.5,0.6000000000000001,0.2,3.785563734861676,-0.5241562166416032,-4.445139072479143,3.3868,-119.38030686304454,119.38030686304454,1
5000.0,0.51,0.6000000000000001,0.2,2.482763314162065,-0.2214012382524178,-3.5388702372416265,3.5703,-94.76172102331519,94.76172102331519,1
5000.0,0.52,0.6000000000000001,0.2,1.748979583425446,-0.307366003040677,-2.7758206527017038,3.40592,-101.17160042690753,101.17160042690753,1
5000.0,0.53,0.6000000000000001,0.2,2.5649972395457734,-0.4195941277158847,-4.168812655962646,3.02,-106.67935664254928,106.67935664254928,1
